grid,reading,distance_mm,irradiance_mW_cm2,distance_cm,waveband,time_min
1,1,20,2.5,2.0,UVA,0
1,2,70,3.1,7.0,UVA,0
2,1,90,3.3,9.0,UVA,0
2,2,140,3.1,14.0,UVA,0
3,1,160,2.6,16.0,UVA,0
3,2,210,2.4,21.0,UVA,0
4,1,230,2.3,23.0,UVA,0
4,2,280,2.0,28.0,UVA,0
5,1,300,1.9,30.0,UVA,0
5,2,350,1.5,35.0,UVA,0
6,1,370,1.5,37.0,UVA,0
6,2,420,1.2,42.0,UVA,0
7,1,440,1.2,44.0,UVA,0
7,2,490,1.0,49.0,UVA,0
8,1,510,0.9,51.0,UVA,0
8,2,560,0.8,56.0,UVA,0
9,1,580,0.7,58.0,UVA,0
9,2,630,0.6,63.0,UVA,0
10,1,650,0.6,65.0,UVA,0
10,2,700,0.5,70.0,UVA,0
