grid,P_MDV_UVA_24h,P_MDV_UVB_24h,P_chamber_UVA,P_chamber_UVB,UVA_factor_24h,UVB_factor_24h
1,2.267,0.034,2.787,0.553,0.814,0.062
1,2.267,0.034,2.787,0.553,0.814,0.062
1,2.267,0.034,2.787,0.553,0.814,0.062
1,2.267,0.034,2.787,0.553,0.814,0.062
2,2.267,0.034,3.185,0.707,0.712,0.048
2,2.267,0.034,3.185,0.707,0.712,0.048
2,2.267,0.034,3.185,0.707,0.712,0.048
2,2.267,0.034,3.185,0.707,0.712,0.048
3,2.267,0.034,2.488,0.768,0.911,0.044
3,2.267,0.034,2.488,0.768,0.911,0.044
3,2.267,0.034,2.488,0.768,0.911,0.044
3,2.267,0.034,2.488,0.768,0.911,0.044
4,2.267,0.034,2.140,0.707,1.059,0.048
4,2.267,0.034,2.140,0.707,1.059,0.048
4,2.267,0.034,2.140,0.707,1.059,0.048
4,2.267,0.034,2.140,0.707,1.059,0.048
5,2.267,0.034,1.692,0.584,1.340,0.058
5,2.267,0.034,1.692,0.584,1.340,0.058
5,2.267,0.034,1.692,0.584,1.340,0.058
5,2.267,0.034,1.692,0.584,1.340,0.058
6,2.267,0.034,1.344,0.461,1.687,0.074
6,2.267,0.034,1.344,0.461,1.687,0.074
6,2.267,0.034,1.344,0.461,1.687,0.074
6,2.267,0.034,1.344,0.461,1.687,0.074
7,2.267,0.034,1.095,0.338,2.071,0.101
7,2.267,0.034,1.095,0.338,2.071,0.101
7,2.267,0.034,1.095,0.338,2.071,0.101
7,2.267,0.034,1.095,0.338,2.071,0.101
8,2.267,0.034,0.846,0.246,2.680,0.139
8,2.267,0.034,0.846,0.246,2.680,0.139
8,2.267,0.034,0.846,0.246,2.680,0.139
8,2.267,0.034,0.846,0.246,2.680,0.139
9,2.267,0.034,0.647,0.246,3.504,0.139
9,2.267,0.034,0.647,0.246,3.504,0.139
9,2.267,0.034,0.647,0.246,3.504,0.139
9,2.267,0.034,0.647,0.246,3.504,0.139
10,2.267,0.034,0.547,0.154,4.142,0.222
10,2.267,0.034,0.547,0.154,4.142,0.222
10,2.267,0.034,0.547,0.154,4.142,0.222
10,2.267,0.034,0.547,0.154,4.142,0.222
