driver,form,slope,intercept,r_squared,n
p_uva_mw_cm2,oxidized,0.025305270706187936,0.35723122464555634,0.006287297013293336,30
p_uva_mw_cm2,reduced,0.24753699509658786,1.0057525519249684,0.1514054790068955,30
p_uva_mw_cm2,total,0.11499272749295998,0.5551743982917953,0.16299585937549144,30
p_uvb_mw_cm2,oxidized,0.137830956087516,0.3349258718758809,0.011771151096897525,30
p_uvb_mw_cm2,reduced,1.1899951210210638,0.8572796035059597,0.22081832893689446,30
p_uvb_mw_cm2,total,0.5606540367696267,0.4827460899745057,0.24451703676058645,30
uva_uvb_ratio,oxidized,-0.0054971898324581,0.44297992000684083,0.00011522467603353181,25
uva_uvb_ratio,reduced,-0.019304346084772744,1.5793889480303327,0.0003488537212744669,25
uva_uvb_ratio,total,-0.010003630838002224,0.8377135116652312,0.0007512760870053148,25
delta_p_uva_from_zero,oxidized,0.025305270706188047,0.10752141456908625,0.006287297013293558,30
delta_p_uva_from_zero,reduced,0.2475369950965882,0.295118462504786,0.15140547900689538,30
delta_p_uva_from_zero,total,0.11499272749296013,0.20028164319732092,0.162995859375491,30
