sample_id,p_uva_mw_cm2,p_uvb_mw_cm2,uva_uvb_ratio,dry_biomass_g,auc_total_320_480,predicted_total_mg_ml,auc_oxidized_320_480,predicted_oxidized_mg_ml,auc_reduced_320_480,predicted_reduced_mg_ml,predicted_total_mg_per_gDW,predicted_oxidized_mg_per_gDW,predicted_reduced_mg_per_gDW,predicted_total_mg_ml_ratio,predicted_oxidized_mg_ml_ratio,predicted_reduced_mg_ml_ratio,predicted_total_mg_per_gDW_ratio,predicted_oxidized_mg_per_gDW_ratio,predicted_reduced_mg_per_gDW_ratio
1D,3.185,0.707,4.504950495049505,0.06,3042167.0,0.1136753245322129,2799392.0,0.0499708839627223,3745622.0,0.1547867546086958,1.8945887422035488,0.8328480660453716,2.579779243478263,8.360745113839128,-2.1316053066860365,2.369113668446146,10.729622896093552,-2.7355601435804138,2.3364292340677353
1F,3.185,0.707,4.504950495049505,0.094,3880172.0,0.1516043511670099,4371307.0,0.0972309249655724,4572922.0,0.1937643569248731,1.6128122464575525,1.0343715421869404,2.0613229460092883,11.150399996413844,-4.147574331188898,2.965691655005508,9.13383829493475,-3.3974811010802672,1.8668788052644512
1G,3.185,0.707,4.504950495049505,0.081,2763010.5,0.101040394759984,4116574.0,0.0895723098211282,2347179.5,0.0889002132971513,1.2474122809874568,1.105830985446027,1.097533497495695,7.431454365899119,-3.820881197324353,1.3606765706955832,7.06446896511398,-3.632195706098458,0.9940034037409123
1I,3.185,0.707,4.504950495049505,0.074,1692987.5,0.0526099786325797,2002129.0,0.0260009606080528,2066435.5,0.0756731759652851,0.710945657197023,0.351364332541254,1.022610486017366,3.8694292151932768,-1.1091215767246674,1.1582280148408486,4.026297967160573,-1.1540859649702617,0.9261478634791258
1J,3.185,0.707,4.504950495049505,0.08,4998317.0,0.2022128218641598,2278817.0,0.0343196586451582,8121247.0,0.3609409563912697,2.5276602733019975,0.4289957330644775,4.511761954890871,14.872619623595668,-1.4639718310015497,5.524440094698788,14.314896387710837,-1.4090728873389915,4.086168440656518
2B,2.488,0.768,3.239583333333333,0.08,4962412.0,0.2005877221316732,2538857.0,0.0421378301508574,8019382.0,0.3561416653723679,2.507346526645915,0.5267228768857175,4.451770817154599,14.753094610548194,-1.7974711519773816,5.450983770994122,14.199853562652642,-1.7300659837782297,4.031836253766361
2E,2.488,0.768,3.239583333333333,0.073,2835542.0,0.1043232501073408,3294387.0,0.0648530398020684,2855622.0,0.1128550900838586,1.429085617908778,0.8883978055077864,1.5459601381350494,7.672906210596303,-2.7664326270461017,1.7273218057145705,8.093339427615282,-2.918017976473285,1.4001300578618903
2G,2.488,0.768,3.239583333333333,0.081,1968644.5,0.0650865171915003,2410886.0,0.0382903481259542,1855176.0,0.0657198473341786,0.8035372492777815,0.4727203472340024,0.8113561399281308,4.787070393904502,-1.6333493183956327,1.0058857361613651,4.550671855933911,-1.552690092795848,0.7348210934562509
2I,2.488,0.768,3.239583333333333,0.087,2763805.5,0.1010763773330887,1436237.5,0.0089872827099702,3817018.0,0.1581505221597242,1.1617974406102152,0.1033021001146,1.8178220937899336,7.4341008604088685,-0.3833700346696148,2.4205983558973636,6.579606508637737,-0.33930451344322227,1.6463473349520374
2J,2.488,0.768,3.239583333333333,0.065,3012137.0,0.1123161337519157,1291396.0,0.0046325846322025,4480672.0,0.1894180692255291,1.7279405192602415,0.0712705328031153,2.9141241419312167,8.260777528772547,-0.19761191323014315,2.899168846761703,9.785844149469021,-0.23409411259570773,2.639235451685662
3A,1.692,0.584,2.897260273972603,0.043,2154700.5,0.0735076160865711,2475510.5,0.0402333008427287,2203420.5,0.0821271187348748,1.7094794438737466,0.9356581591332256,1.9099329938342977,5.40643666120878,-1.7162297478234203,1.2570098781175734,9.681293556118053,-3.073248618195427,1.7297694340265999
3C,1.692,0.584,2.897260273972603,0.074,3870907.0,0.15118500709177,5244612.0,0.1234870711999388,3043612.0,0.1217120941445599,2.0430406363752702,1.6687442054045785,1.6447580289805392,11.119557516372486,-5.267581347435626,1.8628841116414347,11.570350388657863,-5.481131942601934,1.4896083653640495
3D,1.692,0.584,2.897260273972603,0.069,4032567.0,0.1585019162340559,4923252.0,0.1138252976455952,3680802.0,0.1517328102328532,2.297129220783418,1.6496419948636982,2.1990262352587417,11.657711355928374,-4.855439593133233,2.322371029634618,13.009330063862098,-5.418389111177665,1.991592573484371
3E,1.692,0.584,2.897260273972603,0.08,2792897.0,0.102393090572683,1847385.0,0.0213485412438091,3801597.0,0.1574239736219293,1.2799136321585376,0.2668567655476137,1.9677996702741165,7.530944250384374,-0.9106635743977762,2.4094780499252484,7.248533840994964,-0.8765136903578593,1.7821775595877785
3H,1.692,0.584,2.897260273972603,0.052,2575044.5,0.0925328471672652,1207080.5,0.002097616782684,3999562.0,0.1667509421249174,1.7794778301397156,0.0403387842823846,3.206748887017642,6.805729853923601,-0.0894779261599302,2.5522334725158733,10.077715360617644,-0.1324961598906658,2.904256968840645
4A,1.095,0.338,3.2396449704142007,0.07,2548557.0,0.0913339938275009,1839178.0,0.0211017956141088,3123332.0,0.1254680405444701,1.30477134039287,0.3014542230586971,1.7924005792067157,6.71755498181401,-0.9001381593568274,1.9203713557953248,7.389310479995413,-0.99015197529251,1.623323826255833
4B,1.095,0.338,3.2396449704142007,0.071,2969712.0,0.1103959316588718,3256272.0,0.0637071022273118,2956677.0,0.1176162185766198,1.5548722768855183,0.8972831299621381,1.6565664588256312,8.11954793182118,-2.7175504296188095,1.8001940267127055,8.805706911975085,-2.947202578600681,1.500302908615476
4F,1.095,0.338,3.2396449704142007,0.08,3389427.0,0.1293926935087699,4277962.0,0.0944244828059066,3132372.0,0.1258939531818909,1.6174086688596236,1.1803060350738324,1.573674414773636,9.516747231395584,-4.02786007908734,1.926890230445991,9.159869210218252,-3.876815326121564,1.4252300528723663
4G,1.095,0.338,3.2396449704142007,0.062,3162562.0,0.1191245344554191,4148967.0,0.0905462139496627,2659002.0,0.1035914902199559,1.9213634589583728,1.4604228056397208,1.6708304874186437,8.761530908181147,-3.862424973298703,1.5855362820625691,10.881256127902397,-4.796882628129033,1.5132214145242833
4H,1.095,0.338,3.2396449704142007,0.07,2458022.0,0.0872362802978903,1615597.5,0.01437978863699,3335732.0,0.1354751029546672,1.246232575684147,0.205425551957,1.9353586136381025,6.4161708554735934,-0.6133978696574093,2.0735360655078936,7.057787941020955,-0.6747376566231501,1.7527966606988348
5B,0.647,0.246,2.6300813008130084,0.068,2823437.0,0.1037753645130852,1965050.0,0.0248861706478166,3759797.0,0.155454598816156,1.5261083016630177,0.3659730977620088,2.2860970414140587,7.632609586645894,-1.061568041412935,2.379335465810439,8.642807914290207,-1.202069693952882,2.070450009619426
5D,0.647,0.246,2.6300813008130084,0.072,2886492.0,0.1066293030629233,2732972.0,0.047973949062674,3306467.0,0.1340963050194769,1.4809625425406014,0.6663048480926945,1.862448680826068,7.842514883894413,-2.046422162172825,2.052432651055265,8.387133973053752,-2.1885348123237156,1.686764305834907
5E,0.647,0.246,2.6300813008130084,0.079,2641082.0,0.0955217769426191,1962897.0,0.0248214401323121,3268652.0,0.1323146804194693,1.2091364169951784,0.3141954447128113,1.6748693723983457,7.025563666738597,-1.0588068352982531,2.0251637080336975,6.84770129542876,-1.0320015989615883,1.516879312370957
5F,0.647,0.246,2.6300813008130084,0.068,3514732.0,0.135064135424359,2157104.0,0.030660325048507,4759927.0,0.2025749534692183,1.986237285652338,0.4508871330662793,2.9790434333708573,9.93387804214376,-1.3078758347935358,3.1005436631966536,11.248656018309848,-1.4809770482220916,2.698030920622777
5I,0.647,0.246,2.6300813008130084,0.058,1875822.5,0.0608852915302034,1536225.0,0.0119934333922733,2304419.0,0.0868855852736521,1.049746405693162,0.2067833343495396,1.4980273323043465,4.478073018578162,-0.5116032424686878,1.3298413561491413,5.945027972939976,-0.679197408104982,1.3567187430771606
6C,0.0,0.0,,0.074,2521082.0,0.0900904451532197,2137344.0,0.0300662354124795,2339640.0,0.0885449955615502,1.2174384480164826,0.4063004785470203,1.1965539940750027,6.626092797341677,-1.2825337851762408,1.3552397282809043,6.894718181017693,-1.3345283980887912,1.083683318626912
6D,0.0,0.0,,0.071,3366627.0,0.128360740468784,4562057.0,0.1029658742607275,2743117.0,0.107554503659851,1.807897753081465,1.450223581137007,1.5148521642232535,9.440847766210169,-4.392209754493545,1.6461928242352275,10.238665887298357,-4.763382409802858,1.3719564922965897
6F,0.0,0.0,,0.077,831018.5,0.0135963150394397,357580.0,-0.0234428408514384,1847014.0,0.065335300990525,0.1765755199927233,-0.3044524785901091,0.8485104024743506,1.0,1.0,1.0,1.0,1.0,0.7684706025771065
6H,0.0,0.0,,0.046,700098.5,0.0076707320572049,255653.0,-0.0265073031151724,1538313.5,0.0507911146931659,0.1667550447218456,-0.5762457198950521,1.104154667242737,0.564177281487956,1.130720601788583,0.7773916079537414,0.9443837103167959,1.892727963863497,1.0
6J,0.0,0.0,,0.071,450407.0,-0.0036305794552351,87702.0,-0.0315567944340222,1061326.0,0.0283182160049179,-0.0511349219047197,-0.4444618934369324,0.3988481127453225,-0.2670267233955411,1.3461164811041213,0.4334290280383746,-0.2895923619923474,1.4598728034509483,0.361224857873684
