dataset,measurement,term,sum_sq,df,F,PR(>F),eta_squared
dad,predicted_total_mg_ml_delta,C(p_uva_mw_cm2),0.020358458627147014,5.0,2.1176418518449283,0.15856682089299573,0.12340709215544489
dad,predicted_total_mg_ml_delta,C(p_uvb_mw_cm2),0.00023757029399399147,5.0,0.024711536690009313,0.8764030079475268,0.0014400824591513377
dad,predicted_total_mg_ml_delta,C(p_uva_mw_cm2):C(p_uvb_mw_cm2),0.09822794216495091,25.0,2.043490670474726,0.10840696319247592,0.5954293953681581
dad,predicted_total_mg_ml_delta,Residual,0.046145953020889585,24.0,,,0.27972343001724576
dad,predicted_total_mg_per_gDW_delta,C(p_uva_mw_cm2),0.16738480242253187,5.0,0.10671071126085317,0.7467522710922252,0.0060454456064176895
dad,predicted_total_mg_per_gDW_delta,C(p_uvb_mw_cm2),0.26927370004739554,5.0,0.17166664858476563,0.6823146276049608,0.00972537221608735
dad,predicted_total_mg_per_gDW_delta,C(p_uva_mw_cm2):C(p_uvb_mw_cm2),19.72188695327961,25.0,2.5146089175743636,0.05754230024014814,0.7122964158418794
dad,predicted_total_mg_per_gDW_delta,Residual,7.529207163319674,24.0,,,0.2719327663356155
dad,predicted_oxidized_mg_ml_delta,C(p_uva_mw_cm2),0.0020590601818913693,5.0,0.2572427609145702,0.6166496886641554,0.021367517081507467
dad,predicted_oxidized_mg_ml_delta,C(p_uvb_mw_cm2),0.0020623864505282985,5.0,0.25765831871867545,0.6163667136158648,0.021402034820494572
dad,predicted_oxidized_mg_ml_delta,C(p_uva_mw_cm2):C(p_uvb_mw_cm2),0.053821726216169076,25.0,1.344812509201917,0.27971942428138086,0.55852503214541
dad,predicted_oxidized_mg_ml_delta,Residual,0.03842086299315089,24.0,,,0.39870541595258785
dad,predicted_oxidized_mg_per_gDW_delta,C(p_uva_mw_cm2),0.5621344084317,5.0,0.3661038619079242,0.5508145154554321,0.026443403160023422
dad,predicted_oxidized_mg_per_gDW_delta,C(p_uvb_mw_cm2),1.4450121648279224,5.0,0.9410997194129408,0.34167104068617693,0.06797491609219942
dad,predicted_oxidized_mg_per_gDW_delta,C(p_uva_mw_cm2):C(p_uvb_mw_cm2),11.880710937501815,25.0,1.5475210523283978,0.21283286705880836,0.5588813359149352
dad,predicted_oxidized_mg_per_gDW_delta,Residual,7.370163063591976,24.0,,,0.34670034483284184
dad,predicted_reduced_mg_ml_delta,C(p_uva_mw_cm2),0.004979967922370367,5.0,0.20267089446747236,0.656613864143283,0.014402237227457957
dad,predicted_reduced_mg_ml_delta,C(p_uvb_mw_cm2),0.022926074109834663,5.0,0.9330276859004613,0.34371072011098125,0.066302988929085
dad,predicted_reduced_mg_ml_delta,C(p_uva_mw_cm2):C(p_uvb_mw_cm2),0.1999271943985016,25.0,1.6272965588834594,0.19098347250331504,0.5781962709062564
dad,predicted_reduced_mg_ml_delta,Residual,0.11794414827144412,24.0,,,0.3410985029372006
dad,predicted_reduced_mg_per_gDW_delta,C(p_uva_mw_cm2),8.501741695047691,5.0,2.065855521702092,0.1635410983333712,0.14003654060443563
dad,predicted_reduced_mg_per_gDW_delta,C(p_uvb_mw_cm2),2.108613917010777,5.0,0.5123763882560719,0.4810189378503916,0.03473205950029764
dad,predicted_reduced_mg_per_gDW_delta,C(p_uva_mw_cm2):C(p_uvb_mw_cm2),30.346791135013877,25.0,1.4748057111339192,0.2348475203946659,0.499857535246942
dad,predicted_reduced_mg_per_gDW_delta,Residual,19.753733844178146,24.0,,,0.32537386464832485
