metric,label,model,slope,intercept,p_value,adj_r_squared,coef_x,coef_x2,p_value_x,p_value_x2
chrom_total,Chromatogram Total,linear,0.1466978132811616,0.49651244618844986,0.10892544627833901,0.3923050832129531,,,,
chrom_total,Chromatogram Total,quadratic,,,,0.8591296833030664,0.593321452122558,-0.13851493554936828,0.017045194118871752,0.032540184119581955
chrom_oxidized,Chromatogram Oxidized,linear,0.05546206343532949,0.27273223771541866,0.5205429328776637,-0.11237277328654538,,,,
chrom_oxidized,Chromatogram Oxidized,quadratic,,,,0.2551951826532123,0.43857504568608763,-0.11881787131163243,0.1542573068991656,0.18307652220593687
chrom_reduced,Chromatogram Reduced,linear,0.22346500483412818,0.9910147926782431,0.08705841766947141,0.44993531985819346,,,,
chrom_reduced,Chromatogram Reduced,quadratic,,,,0.7121040404016995,0.7551632219849526,-0.1648997900590617,0.060567529529815034,0.12017902042915349
dad_total,DAD Total,linear,0.2453717012355129,1.008659059357163,0.16705574375744178,0.2693181868856317,,,,
dad_total,DAD Total,quadratic,,,,0.7412593618781798,1.1043107375455734,-0.2663895837756472,0.03792345627876981,0.0635148635354218
dad_oxidized,DAD Oxidized,linear,0.18706737014388822,0.23931861864056792,0.242542233508765,0.14922332685416229,,,,
dad_oxidized,DAD Oxidized,quadratic,,,,0.4100948632421644,0.8385815150629718,-0.202059255141701,0.13189810701269022,0.1947001147150299
dad_reduced,DAD Reduced,linear,0.22407701392469614,1.4479846970361963,0.13019612090887347,0.3430631098466652,,,,
dad_reduced,DAD Reduced,quadratic,,,,0.7023908891984036,0.8839726475105287,-0.204658672775515,0.053047000274738874,0.09463922045893519
