metric,axis,pearson_r,pearson_p,spearman_r,spearman_p,kendall_tau,kendall_p,n_doses
chrom_total_mg_per_gDW,UVA,0.6793104417958583,0.137772544572208,0.7714285714285715,0.07239650145772594,0.6,0.1361111111111111,6
chrom_total_mg_per_gDW,UVB,0.8214017052016819,0.04499762011720406,0.8285714285714287,0.04156268221574334,0.7333333333333333,0.05555555555555555,6
chrom_oxidized_mg_per_gDW,UVA,0.18066256944047562,0.7319544653890584,0.3714285714285715,0.46847813411078715,0.3333333333333333,0.46944444444444444,6
chrom_oxidized_mg_per_gDW,UVB,0.2385804803491755,0.6489193569611879,0.2571428571428572,0.6227871720116618,0.2,0.7194444444444444,6
chrom_reduced_mg_per_gDW,UVA,0.769733625207557,0.07342924371119224,0.7714285714285715,0.07239650145772594,0.6,0.1361111111111111,6
chrom_reduced_mg_per_gDW,UVB,0.9050473097708395,0.013095972709762534,0.8857142857142858,0.01884548104956266,0.7333333333333333,0.05555555555555555,6
dad_total_mg_per_gDW,UVA,0.6136536914472706,0.19506150985478488,0.5428571428571429,0.26570262390670557,0.4666666666666666,0.2722222222222222,6
dad_total_mg_per_gDW,UVB,0.7231136372147435,0.10438519388465721,0.3714285714285715,0.46847813411078715,0.3333333333333333,0.46944444444444444,6
dad_oxidized_mg_per_gDW,UVA,0.5651738178368904,0.24250359185097495,0.5428571428571429,0.26570262390670557,0.4666666666666666,0.2722222222222222,6
dad_oxidized_mg_per_gDW,UVB,0.6121712466232498,0.19644983008124656,0.48571428571428577,0.3287230320699709,0.3333333333333333,0.46944444444444444,6
dad_reduced_mg_per_gDW,UVA,0.8302176250705113,0.04079200423003511,0.942857142857143,0.004804664723032055,0.8666666666666666,0.016666666666666666,6
dad_reduced_mg_per_gDW,UVB,0.8783230665573462,0.02130718389875476,0.8857142857142858,0.01884548104956266,0.7333333333333333,0.05555555555555555,6
chrom_total_mg_ml,UVA,0.8083536576777912,0.05157305664404876,0.942857142857143,0.004804664723032055,0.8666666666666666,0.016666666666666666,6
chrom_total_mg_ml,UVB,0.8923777817530942,0.01675054336660081,0.8285714285714287,0.04156268221574334,0.7333333333333333,0.05555555555555555,6
dad_total_mg_ml,UVA,0.7582625456818635,0.08059228980566203,0.8285714285714287,0.04156268221574334,0.7333333333333333,0.05555555555555555,6
dad_total_mg_ml,UVB,0.805508200844769,0.05306206343584881,0.6571428571428573,0.15617492711370237,0.6,0.1361111111111111,6
