metric,transition,delta_trimmed_mean,delta_ci_low,delta_ci_high
Chrom Total (mg·gDW⁻¹),dose_1->dose_2,0.3964137363453232,-0.09202112712837396,0.7387110443452709
Chrom Total (mg·gDW⁻¹),dose_2->dose_3,0.07673007356161987,-0.23015341187565141,0.3346520857841804
Chrom Total (mg·gDW⁻¹),dose_3->dose_4,0.23863962379980852,-0.13764421150919082,0.5138649314302618
Chrom Total (mg·gDW⁻¹),dose_4->dose_5,-0.1784206732737207,-0.4999622733906663,0.2555291974583537
Chrom Total (mg·gDW⁻¹),dose_5->dose_6,0.02420394254061886,-0.41880062985237954,0.312824536711505
Chrom Oxidized,dose_1->dose_2,0.17863262065773305,-0.43911320454820757,0.3929192266000879
Chrom Oxidized,dose_2->dose_3,0.2757687868530969,-0.21008941992679733,0.6696860949422163
Chrom Oxidized,dose_3->dose_4,0.0666914672939376,-0.6780753870341173,0.7736744357796107
Chrom Oxidized,dose_4->dose_5,-0.3775883368936819,-0.9107308871219869,0.2836193722877275
Chrom Oxidized,dose_5->dose_6,0.15970656181394652,-0.21926594128247945,0.4590076235642526
Chrom Reduced,dose_1->dose_2,0.6005593107756989,0.23468871932537178,1.2956278905664154
Chrom Reduced,dose_2->dose_3,-0.15885945502572918,-0.7996912436474628,0.17363324690176368
Chrom Reduced,dose_3->dose_4,0.3363895211295065,-0.031756760974689824,1.0587469329739656
Chrom Reduced,dose_4->dose_5,0.27175118679703947,-0.8737558571490858,1.528564720000255
Chrom Reduced,dose_5->dose_6,-0.3791379444836922,-1.8272718944344857,0.9960009050796497
DAD Total (mg·gDW⁻¹),dose_1->dose_2,0.885146082822582,-0.16764309462849614,1.5820860820561746
DAD Total (mg·gDW⁻¹),dose_2->dose_3,0.08694834164640475,-0.3658199947966978,0.49945460609043524
DAD Total (mg·gDW⁻¹),dose_3->dose_4,0.3516485414169068,-0.13177004082191113,0.7546241436095056
DAD Total (mg·gDW⁻¹),dose_4->dose_5,-0.404391444203166,-0.9975051856000638,0.4471155241756952
DAD Total (mg·gDW⁻¹),dose_5->dose_6,0.14532989728977452,-0.7875198066727381,0.9693097104882955
DAD Oxidized,dose_1->dose_2,0.4912231896737068,-0.660924108437507,0.9638830235817846
DAD Oxidized,dose_2->dose_3,0.4159959041845228,-0.16466974642818966,0.9780276663210086
DAD Oxidized,dose_3->dose_4,0.15770451048328982,-0.8569813623067459,1.1422027169287425
DAD Oxidized,dose_4->dose_5,-0.5831371984367391,-1.3362262496480646,0.3165859378714947
DAD Oxidized,dose_5->dose_6,0.3978233390208232,-0.1822837669274528,0.8312307709835869
DAD Reduced,dose_1->dose_2,0.891398676948794,0.39103298920198204,1.7604810188925502
DAD Reduced,dose_2->dose_3,-0.23453918972916044,-1.0009387636389036,0.17231319916660404
DAD Reduced,dose_3->dose_4,0.3189871246387219,0.0007769736791400916,1.132534357571657
DAD Reduced,dose_4->dose_5,0.06704915816301416,-1.156766125450757,1.7136687861901196
DAD Reduced,dose_5->dose_6,-0.17975689562431763,-2.026343363085723,1.9230593619676126
