ts,UVB_dose_mJ_cm2,UVA_dose_mJ_cm2,daylight_hours
2023-12-30 00:00:00+00:00,3389.81,214815.98,24
2023-12-16 00:00:00+00:00,3216.27,193543.50,23
2023-12-31 00:00:00+00:00,3213.31,198598.95,24
2023-12-28 00:00:00+00:00,2983.25,200282.50,24
2024-01-08 00:00:00+00:00,2937.00,192597.56,24
2024-01-14 00:00:00+00:00,2868.44,186400.44,24
2024-01-13 00:00:00+00:00,2849.37,196820.42,24
2023-12-19 00:00:00+00:00,2689.00,207740.67,23
2024-01-05 00:00:00+00:00,2678.44,191310.75,24
2023-12-29 00:00:00+00:00,2645.01,170828.79,24
