sample_id,sample_category,spectrum_state,auc_raw,n_points,wavelength_min,wavelength_max,auc_corrected,blank_baseline_auc,blank_mean_auc,blank_std_auc
Blank 1,blank,blank,127299.5,160.0,320.9,479.9,127299.5,,94336.25,46617.07520989492
Blank 2,blank,blank,61373.0,160.0,320.9,479.9,61373.0,,94336.25,46617.07520989492
1D,sample,oxidized,2860765.0,160.0,320.9,479.9,2860765.0,,94336.25,46617.07520989492
1D,sample,reduced,3806995.0,160.0,320.9,479.9,3806995.0,,94336.25,46617.07520989492
1D,sample,total,3103540.0,160.0,320.9,479.9,3103540.0,,94336.25,46617.07520989492
1F,sample,oxidized,4432680.0,160.0,320.9,479.9,4432680.0,,94336.25,46617.07520989492
1F,sample,reduced,4634295.0,160.0,320.9,479.9,4634295.0,,94336.25,46617.07520989492
1F,sample,total,3941545.0,160.0,320.9,479.9,3941545.0,,94336.25,46617.07520989492
1G,sample,oxidized,4177947.0,160.0,320.9,479.9,4177947.0,,94336.25,46617.07520989492
1G,sample,reduced,2408552.5,160.0,320.9,479.9,2408552.5,,94336.25,46617.07520989492
1G,sample,total,2824383.5,160.0,320.9,479.9,2824383.5,,94336.25,46617.07520989492
1I,sample,oxidized,2063502.0,160.0,320.9,479.9,2063502.0,,94336.25,46617.07520989492
1I,sample,reduced,2127808.5,160.0,320.9,479.9,2127808.5,,94336.25,46617.07520989492
1I,sample,total,1754360.5,160.0,320.9,479.9,1754360.5,,94336.25,46617.07520989492
1J,sample,oxidized,2340190.0,160.0,320.9,479.9,2340190.0,,94336.25,46617.07520989492
1J,sample,reduced,8182620.0,160.0,320.9,479.9,8182620.0,,94336.25,46617.07520989492
1J,sample,total,5059690.0,160.0,320.9,479.9,5059690.0,,94336.25,46617.07520989492
2B,sample,oxidized,2600230.0,160.0,320.9,479.9,2600230.0,,94336.25,46617.07520989492
2B,sample,reduced,8080755.0,160.0,320.9,479.9,8080755.0,,94336.25,46617.07520989492
2B,sample,total,5023785.0,160.0,320.9,479.9,5023785.0,,94336.25,46617.07520989492
